,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
32,32.0,-6.736747945373737e+18,Wholesale 24 Resin Color Pigment Pearl Mica Powder Soap Pigment for DIY Resin Crafts,Pigment,Chemicals,"['$0.38/piece', '']",,,4.6,130000.0
33,33.0,-4.470168181515302e+18,Pearl chameleon pigment color shift automotive paint pigment car painting pigment,Pigment,Chemicals,0.24,500.0,grams,5.0,320000.0
34,34.0,-4.470168181515302e+18,Pearl chameleon pigment color shift automotive paint pigment car painting pigment,Pigment,Chemicals,0.23,1000.0,grams,5.0,320000.0
35,35.0,-4.470168181515302e+18,Pearl chameleon pigment color shift automotive paint pigment car painting pigment,Pigment,Chemicals,0.19,6000.0,grams,5.0,320000.0
36,36.0,-4.5203833661202714e+18,DM355 13 Color Resin Pigment Ink Alcohol Liquid Epoxy Resin Dye Concentrate Tumblers Colorant UV For Resina Mold Jewelry Making,Pigment,Chemicals,0.56,5.0,pieces,4.8,2000000.0
37,37.0,-4.5203833661202714e+18,DM355 13 Color Resin Pigment Ink Alcohol Liquid Epoxy Resin Dye Concentrate Tumblers Colorant UV For Resina Mold Jewelry Making,Pigment,Chemicals,0.4,100.0,pieces,4.8,2000000.0
38,38.0,-4.5203833661202714e+18,DM355 13 Color Resin Pigment Ink Alcohol Liquid Epoxy Resin Dye Concentrate Tumblers Colorant UV For Resina Mold Jewelry Making,Pigment,Chemicals,0.35,500.0,pieces,4.8,2000000.0
39,39.0,-5.918354497511229e+18,Cocosir Non-toxic Candle Dyes 32 Colors Peach Red Candle Pigment Liquid Oil Soluble 10ml High Concentration Colorant,Pigment,Chemicals,0.91,50.0,pieces,4.8,20000.0
40,40.0,-5.918354497511229e+18,Cocosir Non-toxic Candle Dyes 32 Colors Peach Red Candle Pigment Liquid Oil Soluble 10ml High Concentration Colorant,Pigment,Chemicals,0.79,1000.0,pieces,4.8,20000.0
41,41.0,-5.918354497511229e+18,Cocosir Non-toxic Candle Dyes 32 Colors Peach Red Candle Pigment Liquid Oil Soluble 10ml High Concentration Colorant,Pigment,Chemicals,0.62,2000.0,pieces,4.8,20000.0
